2.05	2.62729E-07	8.30821E-08
2.15	1.09051E-07	4.45198E-08
2.25	4.01172E-08	2.31617E-08
2.35	7.18724E-08	2.71652E-08
2.45	6.50816E-08	2.30098E-08
2.55	3.32775E-08	1.48822E-08
2.65	3.37604E-08	1.37827E-08
2.75	2.91296E-08	1.18921E-08
2.85	3.42483E-08	1.21086E-08
2.95	2.65493E-08	1.00347E-08
3.05	1.37019E-08	6.85095E-09
3.15	6.24067E-09	4.41282E-09
3.25	2.01485E-08	7.61539E-09
3.35	3.20975E-08	9.26576E-09
3.45	1.49776E-08	6.11458E-09
3.55	1.17351E-08	5.24813E-09
3.65	4.46071E-09	3.1542E-09
3.75	4.24208E-09	2.9996E-09
3.85	1.01398E-08	4.53465E-09
3.95	1.36238E-08	5.14929E-09
4.05	1.12863E-08	4.60763E-09
4.15	3.63251E-09	2.56858E-09
4.25	1.58556E-08	5.2852E-09
4.35	1.3652E-08	4.8267E-09
4.45	1.4966E-08	4.98868E-09
4.55	3.2467E-09	2.29577E-09
4.65	3.16332E-09	2.23681E-09
4.75	6.2044E-09	3.1022E-09
4.85	1.36784E-08	4.55946E-09
4.95	7.4749E-09	3.34289E-09
5.05	1.0286E-08	3.88773E-09
5.15	1.00916E-08	3.81427E-09
5.25	7.11507E-09	3.18197E-09
5.35	7.02724E-09	3.14269E-09
5.45	5.55611E-09	2.77806E-09
5.55	9.61357E-09	3.63358E-09
5.65	5.43427E-09	2.71713E-09
5.75	6.72264E-09	3.00646E-09
5.85	2.66264E-09	1.88277E-09
5.95	7.91314E-09	3.23053E-09
6.05	7.82847E-09	3.19596E-09
6.15	3.87711E-09	2.23845E-09
6.25	1.40877E-08	4.24761E-09
6.35	1.01606E-08	3.59231E-09
6.45	5.04279E-09	2.52139E-09
6.55	5.00862E-09	2.50431E-09
6.65	6.22311E-09	2.78307E-09
6.75	4.9517E-09	2.47585E-09
6.85	8.62452E-09	3.25976E-09
6.95	1.10436E-08	3.6812E-09
7.05	4.9156E-09	2.4578E-09
7.15	1.1018E-08	3.67267E-09
7.25	1.09833E-08	3.66112E-09
